Model Type,Avg Overall Accuracy (%),Avg Kappa,Std Kappa,Avg Solid Accuracy (%),Std Solid,Avg Trans Accuracy (%),Std Trans,Overestimated Bias (%),Underestimated Bias (%),Avg Overestimated Offset Magnitude,Avg Underestimated Offset Magnitude,Sample Size
"claude4.6opus","100.00","1.000","0.000","100.00","0.00","100.00","0.00","0.0","0.0","0.00","0.00","6"
"gemini3.1pro","100.00","1.000","0.000","100.00","0.00","100.00","0.00","0.0","0.0","0.00","0.00","6"
"grok4.2","100.00","1.000","0.000","100.00","0.00","100.00","0.00","0.0","0.0","0.00","0.00","6"
"deepseekv4","96.38","0.955","0.109","100.00","0.00","92.42","18.56","2.9","0.7","0.50","0.50","6"
"gpt5.5","92.75","0.911","0.120","100.00","0.00","84.85","20.46","5.8","1.4","0.50","0.50","6"
"deepseekr1","92.03","0.901","0.098","100.00","0.00","83.33","16.68","6.5","1.4","0.50","0.50","6"
"claude4.5haiku","89.13","0.866","0.111","95.83","6.97","81.82","22.27","9.4","1.4","0.54","0.50","6"
"qwen3.6plus","87.83","0.850","0.158","98.33","3.73","76.36","26.19","8.7","3.5","0.50","0.50","5"
"kimiK2.6","85.51","0.822","0.149","100.00","0.00","69.70","25.50","13.0","1.4","0.50","0.50","6"
"gpt5mini","78.26","0.733","0.000","100.00","0.00","54.55","0.00","17.4","4.3","0.50","0.50","6"
"gemini3.1flash","74.64","0.690","0.051","97.22","4.30","50.00","9.53","15.2","10.1","0.50","0.57","6"
"mistral3large","48.55","0.386","0.281","73.61","15.29","21.21","39.28","12.3","39.1","0.50","0.97","6"